0.353,-0.171,-1.116,-0.566,-0.631,-0.380
0.847,0.315,-0.119,0.055,-0.500,0.673
0.129,-0.528,0.860,1.803,-0.145,-1.104
0.473,0.311,-1.862,1.084,0.388,0.884
0.280,-0.254,-0.225,1.137,-0.130,-0.887
0.288,0.072,-0.332,0.679,0.834,0.200
0.301,-0.582,-0.978,0.384,-0.587,-0.797
0.746,0.834,0.631,-0.657,0.252,1.540
1.240,0.626,-1.773,1.618,-0.022,0.747
0.867,0.391,-0.496,0.633,0.511,0.993
0.907,0.131,-1.249,-0.350,-0.308,0.265
0.676,0.279,0.032,-0.301,-1.467,1.103
1.406,0.449,-1.854,0.453,-0.745,1.133
-0.148,-0.200,0.657,-1.330,-0.854,-0.586
0.439,0.316,-0.747,-1.129,0.294,1.410
0.749,0.158,1.318,-0.828,0.196,0.443
-0.315,-0.250,0.181,1.560,-2.222,-0.899
1.056,-0.135,1.283,-0.435,0.332,-0.274
0.331,0.516,0.000,-0.858,1.605,0.904
-0.040,-0.241,-2.652,-0.721,1.575,-0.413
0.280,-0.065,0.830,0.246,-1.993,-0.178
0.361,0.317,0.762,0.777,-1.321,1.040
1.059,-0.248,-1.295,0.355,0.550,-0.450
1.076,-0.340,0.226,0.438,0.129,-1.073
-0.144,-0.168,0.331,1.493,0.819,-0.514
-0.005,-0.443,-0.362,0.560,-1.194,-1.782
1.041,0.116,-0.365,-0.294,0.493,0.145
0.112,-0.132,-1.562,1.608,0.548,-0.353
0.772,0.626,-0.971,0.573,-0.203,1.863
0.213,0.416,-0.088,1.297,-0.836,0.536
0.459,-0.410,0.025,0.427,0.326,-0.746
-0.082,-0.299,0.972,-0.938,1.012,-1.194
0.519,0.193,-0.854,1.083,-0.565,0.334
-0.079,-0.144,0.439,-1.247,-2.373,-0.277
0.382,0.602,-0.027,-0.427,-1.345,1.672
0.638,-0.026,1.074,-0.581,-0.670,-0.071
-0.040,-0.041,2.131,-1.728,2.710,-0.049
0.287,-0.159,-1.066,0.214,-0.968,-0.278
-0.223,-0.069,0.327,-1.280,1.738,-0.150
0.475,0.384,1.192,-0.858,-0.907,0.614
-0.045,0.291,2.368,1.476,-1.607,1.028
0.786,0.376,-0.980,0.416,0.327,1.338
0.526,0.224,1.342,-0.007,-1.391,0.286
0.501,-0.112,-0.178,0.633,-0.051,-0.244
0.668,0.445,-1.335,0.706,0.273,1.134
0.626,0.167,0.087,-1.348,0.455,0.481
0.755,-0.377,0.123,0.462,-0.216,-0.823
1.106,0.137,0.360,0.262,0.431,0.216
1.290,0.340,0.287,0.252,0.807,1.620
0.297,-0.329,-0.087,-0.090,-3.354,-1.752
-0.111,-0.106,-0.243,1.652,2.066,-0.133
0.035,-0.857,0.346,1.391,-0.101,-1.631
1.098,-0.008,1.015,0.663,0.326,-0.008
-0.116,-0.002,-1.298,-1.182,-1.051,-0.003
0.511,0.490,-0.722,-0.317,0.816,0.976
0.182,-0.124,-2.066,-0.474,1.543,-0.162
0.899,0.313,-1.135,0.227,-0.896,1.186
0.369,0.215,0.253,0.298,1.701,0.591
0.309,0.294,-0.265,0.614,1.252,0.322
-0.008,-0.438,-0.875,0.685,0.990,-0.603
0.659,-0.035,0.550,0.910,0.138,-0.075
0.541,-0.191,-2.202,0.877,0.054,-0.434
0.441,0.023,-1.758,-0.250,-2.119,0.046
-0.255,-0.260,0.615,1.649,-3.182,-0.608
0.608,0.024,0.338,-0.530,0.631,0.069
0.943,0.243,-1.416,0.235,0.577,0.416
0.937,-0.129,-1.274,0.031,0.579,-0.292
0.237,0.325,0.199,-0.539,-1.383,1.048
0.802,0.029,-0.120,-0.166,1.698,0.065
0.839,0.012,-1.117,0.925,-0.092,0.012
1.296,-0.210,-1.694,-0.217,-0.296,-0.299
0.258,-0.316,0.852,1.184,-0.288,-1.184
0.444,-0.166,-1.130,0.468,-0.800,-0.429
-0.216,-0.215,1.069,-1.645,-1.169,-0.554
1.256,0.456,-0.595,-0.385,-0.853,1.149
-0.135,-0.433,-1.113,-0.752,-1.638,-0.820
0.380,-0.229,0.147,-0.025,1.489,-0.235
0.077,-0.296,-3.227,0.795,-0.858,-0.538
0.470,-0.266,-0.435,-0.630,0.348,-1.090
0.405,0.619,-0.875,-1.491,-0.435,1.121
0.309,0.051,1.563,0.609,-0.862,0.143
0.678,-0.131,0.764,-0.010,0.042,-0.265
0.420,0.243,-2.122,1.466,-0.020,0.922
0.501,0.018,0.496,0.380,-0.566,0.049
-0.419,-0.633,-0.405,-1.234,1.584,-2.024
0.753,0.323,-0.779,2.784,-0.664,1.286
0.881,0.242,-1.523,1.508,-0.168,0.631
0.406,-0.034,1.086,0.235,-2.372,-0.072
0.064,-0.350,-1.006,1.235,-0.506,-0.934
0.600,0.003,2.339,0.894,0.172,0.004
0.542,-0.164,-0.861,-0.036,0.671,-0.420
0.520,0.425,0.449,0.663,0.790,0.681
0.171,-0.393,-1.565,-1.477,-0.215,-1.105
0.467,0.462,-0.404,1.214,-0.404,0.683
0.227,0.611,-0.643,0.738,1.463,0.860
0.534,0.329,-0.890,-1.493,-0.068,0.806
1.172,0.549,-1.003,0.088,2.500,1.766
0.606,0.749,-0.542,0.462,-1.673,1.258
-0.022,0.074,-0.486,-0.906,-1.368,0.141
0.337,0.096,-1.722,0.395,-1.900,0.277
0.392,-0.072,0.464,0.082,3.484,-0.172
0.261,-0.816,-0.558,-0.807,0.076,-2.239
1.314,0.417,-0.232,-0.214,-0.178,0.861
0.275,-0.097,0.249,-1.320,0.396,-0.263
0.495,-0.190,-0.046,-1.775,0.114,-0.577
0.470,-0.106,0.079,0.570,-0.398,-0.255
0.776,-0.205,0.532,-0.877,-0.104,-0.408
1.459,0.179,0.269,0.361,0.033,0.505
0.458,0.097,1.519,1.008,0.058,0.135
0.086,-0.563,0.420,-0.310,1.222,-1.680
0.346,-0.017,0.249,0.128,-1.397,-0.034
0.428,0.347,-1.121,2.677,0.682,2.071
0.409,0.054,-0.721,0.692,-0.488,0.149
0.518,-0.284,2.166,-0.147,-0.475,-1.245
-0.535,-0.422,0.970,1.320,-1.294,-2.815
0.575,0.768,0.358,0.986,-1.980,1.194
0.425,-0.186,1.483,-1.083,-0.086,-0.557
0.409,-0.552,-0.639,-0.033,0.904,-1.874
0.295,-0.136,0.012,-1.429,-0.152,-0.333
0.837,0.052,0.093,0.325,0.422,0.138
0.389,0.192,-0.411,0.506,1.083,0.444
0.168,0.692,0.076,-1.231,-1.100,1.018
0.854,0.354,-0.654,-0.443,0.230,0.889
-0.138,-0.248,1.189,1.355,-0.855,-0.608
1.109,0.217,0.132,-0.278,-0.786,0.579
0.472,-0.158,-0.447,-0.409,0.819,-0.317
0.951,0.454,-0.589,-0.179,0.710,1.913
1.093,0.425,-1.259,0.175,-1.180,1.488
0.703,-0.008,0.534,-0.302,-0.347,-0.018
-0.192,-0.211,0.654,-1.903,-1.286,-0.311
0.330,-0.472,-0.361,0.685,0.294,-0.975
0.359,0.221,0.245,-0.595,-1.297,0.573
0.530,0.199,-1.262,0.101,0.802,0.445
-0.019,-0.341,0.690,0.826,2.701,-0.977
0.314,-0.144,0.008,1.037,0.095,-0.441
0.169,-0.313,0.850,0.263,-1.098,-0.514
0.172,0.036,1.152,1.012,0.656,0.046
0.073,-0.612,0.051,1.422,0.248,-0.941
0.497,-0.208,-0.242,-0.487,-0.915,-0.381
0.529,0.003,-1.664,-0.646,0.032,0.007
0.437,-0.026,-2.301,0.651,0.361,-0.050
0.377,-0.323,-0.174,-0.249,0.607,-0.531
0.760,0.304,-2.030,-0.272,0.416,1.533
0.478,-0.086,-0.731,-1.357,0.223,-0.219
0.721,-0.104,-0.753,-0.133,0.260,-0.209
0.512,0.007,0.742,0.323,-1.919,0.016
-0.414,-0.534,-0.145,0.825,-1.568,-2.122
-0.173,0.136,-0.188,-1.456,-1.306,0.363
0.439,-0.093,1.005,1.192,0.072,-0.230
0.596,-0.253,-0.278,-0.583,0.032,-0.719
0.186,-0.327,-0.667,-0.159,-1.427,-1.105
-0.074,-0.314,0.661,0.709,-1.682,-1.029
0.205,0.381,1.436,-0.820,-1.471,1.275
0.370,-0.314,1.214,-2.842,0.350,-0.415
0.496,0.023,-1.004,-0.311,-0.793,0.065
0.869,0.102,-0.422,-0.132,-0.243,0.269
0.198,-0.304,-0.881,-0.740,0.700,-0.542
0.398,-0.706,1.897,0.465,0.469,-0.934
-0.103,-0.334,-0.690,-0.874,-1.895,-1.767
0.578,0.437,-0.808,2.399,0.059,1.340
0.016,-0.849,-0.621,0.820,-0.583,-1.618
0.511,-0.418,0.594,-0.230,-0.576,-0.758
0.224,-0.487,-0.201,-0.791,0.417,-1.287
0.762,-0.252,0.942,0.073,-0.232,-0.655
0.600,0.119,-1.267,0.209,-0.705,0.213
0.060,-0.296,0.303,0.859,-0.775,-0.818
0.319,0.447,-1.118,1.380,0.535,1.393
0.189,-0.407,-0.460,0.289,1.053,-0.813
0.587,0.330,-0.251,-0.987,0.061,1.309
-0.211,-0.393,0.639,1.783,-0.886,-0.415
-0.069,-0.098,0.825,0.819,1.318,-0.167
0.514,-0.161,0.646,-0.946,-0.074,-0.483
0.531,0.320,-0.346,-1.519,-0.197,1.621
0.682,0.099,0.579,-0.316,-0.534,0.288
