X_o	y_o	X_i	y_i
3.2733640101522705	2.580216829592325	7.798112628829788	8.212025804623437
3.580737295494233	2.803360380906535	4.736198448394496	5.075173815233827
4.084294226368599	3.7864597824528	6.322565239927284	6.853299093186078
4.290459441148391	4.416428061391214	6.45833828334479	6.81783057145415
3.517497837358316	2.9856819377004897	5.755742213586912	6.133398042996649
2.9338568698359038	1.3217558399823195	5.198497031265826	5.631211781821365
3.8044377947482086	3.597312260588446	5.3612921657094255	5.793013608384144
3.858622228701031	2.70805020110221	4.9344739331306915	5.241747015059643
4.6443908991413725	4.119037174812473	5.153291594497779	5.6131281063880705
3.0492730404820207	3.068052935133617	5.7745515455444085	6.214608098422191
2.797281334830153	2.797281334830153	7.6004023345004	7.914983005848394
4.308110951723713	3.131136910560194	5.963579343618446	6.376726947898627
4.443827035579329	3.6788291182604347	4.804021044733257	5.198497031265826
3.6054978451748854	3.374168709274236	6.2324480165505225	6.583409222158765
3.374168709274236	3.1822118404966093	5.424950017481403	5.811140992976701
3.912023005428146	2.624668592163159	4.596129441335942	4.718498871295094
3.265759410767051	3.2846635654062037	5.1647859739235145	5.442417710521793
3.6788291182604347	3.6428355156125294	7.294377299288821	7.663407664893479
3.417726683613366	2.9856819377004897	5.318119993844216	5.872117789475416
3.893859034800475	2.803360380906535	7.060476365999801	7.429520842786462
3.6506582412937387	2.186051276738094	5.081404364984463	5.594711379601839
3.4531571205928664	2.8791984572980396	5.6131281063880705	6.016157159698354
3.713572066704308	3.32862668882732	5.5134287461649825	5.963579343618446
4.254193263163997	3.9926809084456005	5.918893854273146	6.376726947898627
4.254193263163997	3.742420221041966	6.952728644624869	7.357556200910353
3.068052935133617	0.0	5.655991810819852	5.926926025970411
3.6686767467964168	3.139832617527748	5.056245805348308	5.6131281063880705
4.2456340097683265	3.0155349008501706	6.133398042996649	6.583409222158765
3.5524868292083815	3.104586678466073	5.638354669333745	6.025865973825314
3.7062280924485496	3.2108436531709366	6.431331081933479	6.970730078143525
3.822098297900159	2.7536607123542622	5.594711379601839	6.054439346269371
3.7773481021015445	3.374168709274236	5.720311776607412	6.09807428216624
4.380775852772229	4.389498649512583	4.663439094112067	4.955827057601261
4.037774210733707	2.8507065015037334	3.903990833730882	3.903990833730882
4.074141854904581	2.970414465569701	4.560172820057356	4.912654885736052
3.9852734671677386	2.5416019934645457	5.883322388488279	6.152732694704104
4.065602093356446	3.139832617527748	5.198497031265826	5.602118820879701
5.075173815233827	3.3357695763397	5.278114659230517	5.7745515455444085
3.8133070324889884	2.2396452932201716	4.084294226368599	4.280824129164719
4.001863709427935	3.3463891451671604	4.736198448394496	4.976733742420574
4.443827035579329	3.292126286607793	5.017279836814924	5.4680601411351315
4.6913478822291435	3.7773481021015445	6.07073772800249	6.502790045915623
3.246490991901174	2.72785282839839	6.70073110954781	7.0967213784947605
3.9219733362813143	3.3357695763397	5.153291594497779	5.497168225293202
4.237000862623624	2.8791984572980396	5.6131281063880705	6.07073772800249
4.136765278106052	2.9601050959108397	4.804021044733257	5.442417710521793
4.21803603456465	3.7773481021015445	7.051855622955894	7.438383530044307
4.31748811353631	4.056988775678332	5.0369526024136295	5.10594547390058
3.929862923556477	3.742420221041966	5.476463551931511	5.855071922202427
4.380775852772229	3.0155349008501706	5.872117789475416	6.115892125483034
4.136765278106052	3.077312260546414	6.2324480165505225	6.683360945766275
3.929862923556477	3.2308043957334744	7.0967213784947605	7.456454555176209
4.31748811353631	3.417726683613366	6.511745329644728	6.961296045910167
4.084294226368599	3.2308043957334744	4.136765278106052	4.237000862623624
5.198497031265826	3.634951112088381	4.820281565605037	5.170483995038151
4.2456340097683265	3.4995332823830174	6.646390514847729	6.988413181999592
4.048300623720694	2.9496883350525844	4.605170185988092	4.836281906951478
4.416428061391214	3.417726683613366	5.998936561946683	6.413458957167357
3.56953269648137	3.202746442938317	5.54907608489522	6.016157159698354
4.389498649512583	3.32862668882732	7.1592919047975645	7.510430556378006
4.727387818712341	3.822098297900159	4.948759890378168	5.43372200355424
2.186051276738094	2.312535423847214	4.019980146933238	4.718498871295094
3.5610460826040513	2.6461747973841225	5.1647859739235145	5.37989735354046
3.1822118404966093	2.509599262378372	7.114769448366463	7.438383530044307
5.099866427824199	3.4995332823830174	5.5053315359323625	5.863631175598097
4.056988775678332	3.299533727885655	2.5416019934645457	2.884800712846709
4.506454213048934	3.3105430133940246	5.746203190540153	6.09807428216624
3.6506582412937387	2.5416019934645457	4.209160236650682	4.663439094112067
3.9396381724611196	3.6054978451748854	6.206575926724928	6.646390514847729
3.292126286607793	2.714694743820879	5.908082938168931	6.376726947898627
4.028916756899646	3.0492730404820207	5.318119993844216	5.497168225293202
4.254193263163997	3.56953269648137	4.919980925828125	5.209486152841421
4.074141854904581	3.5610460826040513	5.720311776607412	6.313548046277095
4.237000862623624	3.56953269648137	5.332718793265369	5.802118375377063
4.2456340097683265	3.8501476017100584	5.3706380281276624	5.820082930352362
4.653960350157523	4.092676505121403	5.811140992976701	6.1070228877422545
4.128745988939433	3.949318790171843	4.787491742782046	5.3706380281276624
4.31748811353631	3.5085558999826545	5.730099782973574	6.144185634125646
3.0155349008501706	2.714694743820879	3.742420221041966	3.8416005411316
3.86702563949741	2.975529566236472	3.6788291182604347	4.084294226368599
4.092676505121403	3.975936331171799	5.342334251964811	5.602118820879701
3.8416005411316	3.299533727885655	5.638354669333745	5.991464547107982
3.949318790171843	3.0587070727153796	4.882801922586371	5.236441962829949
3.462606009790799	3.173878458937465	6.07073772800249	6.45833828334479
4.542230386214217	3.3105430133940246	5.209486152841421	5.41610040220442
