1000	83
1000	251
1000	344
1000	409
1000	425
1000	453
1000	571
1000	593
1000	594
1000	739
1000	817
1000	825
1000	939
996	560
995	711
994	564
994	913
993	794
990	154
990	606
990	629
988	873
987	248
987	392
987	734
987	932
986	713
981	875
980	10
979	128
979	359
979	515
979	790
978	955
977	193
977	545
977	979
974	100
974	109
974	120
974	452
974	564
974	654
974	722
973	203
968	246
967	31
967	317
964	668
963	147
963	196
963	301
963	353
963	392
963	689
963	754
963	784
962	190
960	383
958	723
958	810
958	996
955	595
953	159
953	253
953	427
952	184
951	402
951	947
950	359
950	687
950	979
948	881
948	896
948	926
942	802
941	149
939	601
938	509
937	478
932	423
932	434
932	509
932	734
932	800
930	1000
929	908
921	104
921	144
921	154
921	268
921	332
921	461
921	519
921	547
921	550
921	736
921	754
921	801
921	888
921	941
921	959
921	960
919	46
919	145
919	589
919	641
919	698
918	541
918	807
913	957
904	135
904	263
904	675
900	279
900	413
900	738
899	546
896	155
895	222
895	517
895	572
895	643
895	702
895	870
893	231
893	293
891	884
889	329
889	403
889	597
888	659
888	661
888	693
888	974
886	552
884	717
883	142
883	915
881	20
879	399
879	666
879	784
879	785
869	356
869	375
869	796
867	957
862	168
857	265
855	582
851	9
851	30
851	208
851	588
851	610
848	324
848	401
848	778
848	816
848	819
846	225
846	260
843	626
842	966
833	998
830	50
830	274
830	463
830	877
827	14
825	712
821	533
820	7
820	16
818	659
818	697
816	347
816	628
815	208
815	617
815	911
814	730
814	758
811	971
810	777
809	354
809	473
809	916
808	769
808	839
807	114
806	941
804	701
804	757
801	346
801	496
801	749
801	885
799	255
799	381
799	382
799	748
799	793
799	843
797	54
797	461
797	607
797	692
797	750
797	963
795	61
795	151
790	545
789	237
789	831
786	390
784	56
784	270
784	294
784	932
784	952
779	112
779	163
779	215
779	576
772	429
769	755
769	811
765	479
765	550
765	569
765	676
765	741
765	743
765	771
765	779
765	834
765	846
760	576
759	98
759	260
759	418
757	102
757	358
755	273
755	967
754	234
754	376
753	829
752	874
750	107
750	245
750	349
750	352
750	397
750	517
750	555
750	572
750	613
750	623
750	632
750	681
750	708
750	760
750	888
750	919
750	963
749	379
744	235
744	268
744	275
744	372
744	456
744	669
744	750
744	765
744	801
744	996
743	76
743	156
743	299
743	508
743	686
743	759
743	789
743	837
743	900
743	923
742	166
741	175
741	363
741	620
740	206
740	380
740	645
739	457
736	110
736	291
736	355
736	378
736	385
736	592
736	684
736	786
734	773
733	720
732	663
729	250
729	304
729	400
728	638
727	239
727	258
727	370
727	389
726	62
726	382
726	622
726	654
726	696
723	869
722	101
720	72
720	678
717	142
717	391
717	482
716	283
716	287
715	988
714	37
714	77
714	229
714	264
714	342
714	364
714	677
714	697
714	810
714	935
714	936
714	977
712	774
711	29
710	95
710	197
708	25
708	240
708	617
708	693
708	921
707	17
707	504
707	804
707	897
707	980
702	952
698	269
698	300
698	490
698	727
697	23
697	25
697	104
697	242
697	951
695	538
693	536
693	795
692	127
692	153
691	528
690	511
688	847
687	189
687	700
684	554
683	967
681	46
681	64
681	248
681	345
681	604
681	818
681	911
681	958
680	627
680	772
678	515
678	950
677	360
677	684
677	960
673	852
672	863
670	472
670	725
666	870
665	729
664	603
663	152
663	357
662	157
662	217
662	266
661	87
661	204
661	688
661	926
661	928
661	938
659	75
659	562
658	745
654	574
652	240
652	399
652	506
652	555
652	592
652	771
649	92
649	342
649	512
648	91
647	828
644	68
644	605
644	781
643	698
642	224
642	245
642	275
642	421
642	565
642	574
642	677
642	815
642	879
642	895
642	958
638	690
636	296
634	619
632	219
632	591
632	607
632	680
632	951
631	531
629	79
629	259
629	426
629	480
629	554
629	580
629	799
627	198
623	73
623	108
623	216
623	218
623	272
623	295
623	555
623	652
623	714
623	921
623	958
622	282
622	746
621	124
620	360
619	96
618	857
614	479
614	568
613	43
610	27
610	510
608	645
607	177
606	73
606	77
606	134
606	259
606	372
606	536
606	548
606	642
606	708
606	797
606	806
606	947
604	602
597	99
